Name,discrete
samplenew3_00065174,disgust
samplenew3_00083622,happy
samplenew3_00079929,angry
samplenew3_00042893,angry
samplenew3_00002154,angry
samplenew3_00046710,fear
samplenew3_00003269,happy
samplenew3_00036224,happy
samplenew3_00096851,happy
samplenew3_00004682,angry
samplenew3_00020552,sad
samplenew4_00001582,angry
samplenew3_00033042,happy
samplenew3_00050939,happy
samplenew3_00092788,happy
samplenew4_00003398,happy
samplenew3_00065637,happy
samplenew3_00060606,sad
samplenew3_00016644,sad
samplenew3_00084261,happy
samplenew3_00022031,angry
samplenew3_00069081,happy
samplenew3_00030349,neutral
samplenew3_00090735,fear
samplenew3_00079484,happy
samplenew3_00054815,happy
samplenew3_00069024,neutral
samplenew3_00071542,sad
samplenew3_00029865,happy
samplenew3_00065836,fear
samplenew3_00026668,neutral
samplenew4_00007691,fear
samplenew3_00051349,happy
samplenew3_00056894,angry
samplenew3_00078939,neutral
samplenew3_00088786,happy
samplenew3_00070779,happy
samplenew3_00007790,sad
samplenew3_00079147,happy
samplenew3_00023720,happy
samplenew3_00028346,happy
samplenew3_00053792,happy
samplenew3_00114403,fear
samplenew3_00026065,neutral
samplenew3_00044838,angry
samplenew3_00064576,happy
samplenew3_00013992,angry
samplenew4_00005532,happy
samplenew3_00049024,neutral
samplenew3_00078929,happy
samplenew3_00021595,fear
samplenew3_00059894,happy
samplenew4_00003114,happy
samplenew3_00100974,happy
samplenew3_00064774,happy
samplenew3_00045470,happy
samplenew3_00014360,happy
samplenew3_00074406,happy
samplenew3_00006965,sad
samplenew3_00041660,angry
samplenew4_00002679,sad
samplenew3_00047362,neutral
samplenew3_00036074,happy
samplenew3_00107070,fear
samplenew3_00093292,sad
samplenew3_00066992,sad
samplenew3_00055388,disgust
samplenew3_00022155,neutral
samplenew3_00074380,angry
samplenew3_00086624,fear
samplenew3_00072570,happy
samplenew3_00034908,neutral
samplenew3_00014079,happy
samplenew4_00000519,neutral
samplenew3_00086517,happy
samplenew4_00001253,happy
samplenew3_00043656,neutral
samplenew3_00045036,neutral
samplenew3_00051733,happy
samplenew4_00002879,happy
samplenew3_00038256,happy
samplenew3_00081311,happy
samplenew3_00110408,angry
samplenew3_00017799,happy
samplenew3_00012677,happy
samplenew3_00054566,happy
samplenew3_00091517,happy
samplenew3_00002324,happy
samplenew4_00004665,angry
samplenew3_00058300,fear
samplenew3_00028703,neutral
samplenew3_00075510,sad
samplenew3_00058262,neutral
samplenew3_00061513,neutral
samplenew3_00086998,happy
samplenew3_00017365,happy
samplenew3_00088103,sad
samplenew3_00103066,happy
samplenew3_00019648,fear
samplenew3_00059699,fear
samplenew3_00047634,happy
samplenew3_00068478,happy
samplenew3_00050185,angry
samplenew3_00050834,happy
samplenew3_00058427,angry
samplenew4_00003066,happy
samplenew3_00003935,happy
samplenew3_00085132,happy
samplenew3_00057496,sad
samplenew3_00045822,happy
samplenew3_00044224,happy
samplenew4_00007751,happy
samplenew3_00027898,fear
samplenew3_00089243,happy
samplenew3_00012545,angry
samplenew3_00069046,happy
samplenew3_00079095,happy
samplenew3_00083582,neutral
samplenew3_00014903,disgust
samplenew3_00055005,neutral
samplenew3_00016332,happy
samplenew3_00080630,happy
samplenew3_00045024,happy
samplenew3_00044261,angry
samplenew3_00028505,happy
samplenew3_00035413,fear
samplenew3_00109934,neutral
samplenew3_00000043,happy
samplenew3_00074700,happy
samplenew3_00045920,happy
samplenew3_00072658,neutral
samplenew3_00060601,happy
samplenew3_00078189,angry
samplenew3_00055874,sad
samplenew4_00001870,angry
samplenew3_00104871,happy
samplenew3_00080339,happy
samplenew3_00012249,sad
samplenew3_00084363,happy
samplenew3_00062745,fear
samplenew3_00021767,sad
samplenew3_00027331,happy
samplenew3_00033982,fear
samplenew3_00048292,neutral
samplenew3_00074773,happy
samplenew4_00007471,happy
samplenew3_00034241,sad
samplenew3_00070409,fear
samplenew3_00112011,angry
samplenew3_00054064,sad
samplenew3_00031255,neutral
samplenew3_00044879,neutral
samplenew3_00103931,sad
samplenew3_00031744,neutral
samplenew3_00111928,neutral
samplenew3_00094775,happy
samplenew3_00055071,happy
samplenew3_00037887,fear
samplenew3_00039166,happy
samplenew3_00094001,happy
samplenew3_00066540,fear
samplenew3_00041708,happy
samplenew3_00053154,happy
samplenew3_00028203,angry
samplenew3_00028714,sad
samplenew4_00005919,happy
samplenew3_00078667,happy
samplenew3_00088249,happy
samplenew3_00051997,fear
samplenew3_00058668,happy
samplenew3_00111661,happy
samplenew3_00039570,neutral
samplenew3_00053180,happy
samplenew3_00044584,happy
samplenew3_00034542,happy
samplenew3_00057126,happy
samplenew3_00109464,sad
samplenew3_00103691,happy
samplenew3_00052445,fear
samplenew4_00003843,happy
samplenew3_00064897,happy
samplenew3_00091953,sad
samplenew3_00089547,happy
samplenew3_00035901,happy
samplenew3_00081629,happy
samplenew3_00067698,happy
samplenew3_00032542,angry
samplenew3_00038864,angry
samplenew3_00023675,happy
samplenew3_00063576,disgust
samplenew4_00007219,happy
samplenew3_00022916,fear
samplenew3_00073039,happy
samplenew3_00005358,happy
samplenew3_00069999,happy
samplenew3_00072553,happy
samplenew3_00067662,happy
samplenew3_00045034,happy
samplenew3_00094840,happy
samplenew3_00000523,neutral
samplenew3_00090475,sad
samplenew3_00045600,happy
samplenew3_00040264,happy
samplenew3_00087118,neutral
samplenew3_00071814,happy
samplenew4_00008932,sad
samplenew3_00077202,angry
samplenew3_00009299,happy
samplenew3_00070822,happy
samplenew3_00073451,happy
samplenew3_00021939,happy
samplenew3_00065186,angry
samplenew3_00080279,happy
samplenew4_00009939,fear
samplenew3_00081112,sad
samplenew3_00061827,fear
samplenew3_00000446,fear
samplenew3_00102643,fear
samplenew3_00032171,happy
samplenew3_00105726,neutral
samplenew3_00071740,happy
samplenew3_00064872,sad
samplenew3_00008137,happy
samplenew3_00020215,neutral
samplenew3_00038917,neutral
samplenew3_00018977,angry
samplenew3_00029582,happy
samplenew3_00050996,angry
samplenew3_00046297,neutral
samplenew3_00069149,angry
samplenew3_00009785,sad
samplenew4_00002933,happy
samplenew3_00025179,fear
samplenew3_00015735,happy
samplenew3_00114305,happy
samplenew3_00027855,happy
samplenew4_00006471,happy
samplenew3_00080833,angry
samplenew3_00082062,happy
samplenew3_00108972,happy
samplenew3_00065049,neutral
samplenew3_00031815,sad
samplenew3_00063043,happy
samplenew3_00104445,happy
samplenew4_00010622,happy
samplenew3_00102619,sad
samplenew3_00048530,happy
samplenew3_00066957,happy
samplenew3_00014279,happy
samplenew3_00002305,happy
samplenew3_00077156,happy
samplenew3_00092159,sad
samplenew3_00101702,neutral
samplenew3_00073202,happy
samplenew3_00065789,happy
samplenew3_00107602,happy
samplenew3_00082258,happy
samplenew3_00042508,happy
samplenew3_00102373,happy
samplenew4_00004273,happy
samplenew3_00066416,happy
samplenew3_00012943,happy
samplenew3_00032626,happy
samplenew3_00104688,happy
samplenew3_00069755,angry
samplenew3_00097752,fear
samplenew3_00098922,happy
samplenew3_00062447,happy
samplenew3_00018580,happy
samplenew3_00044155,angry
samplenew3_00004232,happy
samplenew3_00056524,happy
samplenew3_00077397,happy
samplenew3_00082885,happy
samplenew3_00089139,neutral
samplenew3_00041739,disgust
samplenew3_00068933,happy
samplenew3_00045211,sad
samplenew3_00071137,happy
samplenew3_00007763,angry
samplenew3_00046623,sad
samplenew3_00108270,happy
samplenew3_00061594,happy
samplenew4_00007793,happy
samplenew3_00040340,fear
samplenew3_00083697,neutral
samplenew3_00078984,happy
samplenew3_00002169,happy
samplenew3_00009278,happy
samplenew3_00095746,happy
samplenew4_00006566,happy
samplenew3_00039074,neutral
samplenew3_00103027,happy
samplenew3_00033571,sad
samplenew3_00097869,sad
samplenew3_00032790,neutral
samplenew3_00113531,happy
samplenew3_00057388,happy
samplenew3_00056491,happy
samplenew3_00023297,sad
samplenew3_00100674,happy
samplenew3_00017927,happy
samplenew3_00079673,happy
samplenew3_00038155,happy
samplenew3_00113772,fear
samplenew3_00115458,sad
samplenew3_00059913,happy
samplenew3_00089479,angry
samplenew3_00096827,happy
samplenew3_00111081,sad
samplenew3_00099885,sad
samplenew3_00061690,happy
samplenew3_00102884,happy
samplenew3_00067959,happy
samplenew3_00059754,neutral
samplenew3_00041020,fear
samplenew3_00105019,fear
samplenew3_00017710,happy
samplenew3_00093331,happy
samplenew3_00040581,happy
samplenew3_00078276,happy
samplenew3_00005031,sad
samplenew3_00009895,angry
samplenew3_00058870,happy
samplenew3_00064119,neutral
samplenew3_00114493,happy
samplenew3_00101430,happy
samplenew3_00053207,sad
samplenew3_00065512,happy
samplenew3_00017272,sad
samplenew3_00077786,happy
samplenew3_00007463,happy
samplenew3_00105271,happy
samplenew3_00109306,happy
samplenew3_00093919,sad
samplenew4_00003948,fear
samplenew3_00061406,happy
samplenew3_00079550,happy
samplenew3_00093756,happy
samplenew3_00085948,happy
samplenew3_00084221,fear
samplenew3_00082071,happy
samplenew3_00025718,happy
samplenew3_00086612,sad
samplenew4_00009144,disgust
samplenew3_00025776,happy
samplenew3_00052293,happy
samplenew3_00098599,happy
samplenew3_00040944,happy
samplenew4_00010608,happy
samplenew4_00001160,angry
samplenew3_00046957,happy
samplenew3_00082420,fear
samplenew4_00003183,happy
samplenew3_00000259,angry
samplenew3_00079425,happy
samplenew3_00010431,neutral
samplenew3_00094807,happy
samplenew4_00005841,neutral
samplenew3_00105456,fear
samplenew3_00070056,fear
samplenew3_00005737,fear
samplenew3_00019504,happy
samplenew3_00019434,happy
samplenew3_00068847,happy
samplenew3_00017208,happy
samplenew3_00096439,happy
samplenew3_00057181,neutral
samplenew3_00018319,happy
samplenew3_00115445,sad
samplenew3_00015774,happy
samplenew3_00015402,fear
samplenew3_00032423,neutral
samplenew3_00009812,fear
samplenew3_00097807,happy
samplenew3_00004369,fear
samplenew3_00099064,angry
samplenew3_00018126,happy
samplenew3_00058112,happy
samplenew3_00073599,happy
samplenew3_00014564,angry
samplenew3_00050496,happy
samplenew3_00112507,happy
samplenew3_00049785,happy
samplenew3_00006583,sad
samplenew4_00002331,happy
samplenew3_00028046,happy
samplenew3_00056227,happy
samplenew3_00110487,happy
samplenew4_00001373,happy
samplenew3_00027408,happy
samplenew3_00086803,sad
samplenew3_00041562,angry
samplenew3_00103657,neutral
samplenew3_00055067,neutral
samplenew3_00090879,happy
samplenew4_00000348,sad
samplenew3_00021877,happy
samplenew3_00023162,angry
samplenew3_00082069,happy
samplenew3_00039124,sad
samplenew3_00004940,happy
samplenew3_00073713,happy
samplenew3_00028763,happy
samplenew3_00033536,happy
samplenew3_00011195,happy
samplenew3_00072826,happy
samplenew3_00078423,happy
samplenew3_00104493,happy
samplenew3_00076364,happy
samplenew3_00068012,happy
samplenew3_00110889,happy
samplenew3_00114236,happy
samplenew3_00098305,sad
samplenew3_00027461,happy
samplenew3_00079123,sad
samplenew3_00108465,happy
samplenew3_00092727,happy
samplenew3_00074278,happy
samplenew3_00069655,happy
samplenew3_00028208,happy
samplenew3_00027769,angry
samplenew3_00009619,fear
samplenew3_00040691,happy
samplenew3_00086722,happy
samplenew3_00085604,sad
samplenew3_00032275,happy
samplenew3_00094779,happy
samplenew3_00099040,sad
samplenew3_00093901,happy
samplenew3_00062313,happy
samplenew3_00065405,fear
samplenew3_00013585,angry
samplenew3_00035607,happy
samplenew3_00031428,neutral
samplenew3_00080354,angry
samplenew3_00016561,happy
samplenew3_00077355,angry
samplenew3_00054969,happy
samplenew3_00090477,fear
samplenew3_00049651,happy
samplenew3_00012675,happy
samplenew3_00103924,neutral
samplenew3_00073736,happy
samplenew3_00098800,disgust
samplenew3_00027536,angry
samplenew3_00021412,fear
samplenew3_00004571,happy
samplenew4_00008191,happy
samplenew3_00047951,neutral
samplenew3_00073817,angry
samplenew3_00017262,fear
samplenew3_00002352,angry
samplenew3_00006859,happy
samplenew3_00084707,sad
samplenew3_00026485,happy
samplenew3_00004009,happy
samplenew3_00038337,fear
samplenew3_00022904,fear
samplenew3_00109603,fear
samplenew3_00042235,neutral
samplenew3_00023393,fear
samplenew3_00038390,happy
samplenew4_00011338,neutral
samplenew3_00087849,happy
samplenew3_00069628,neutral
samplenew3_00075601,fear
samplenew3_00086664,happy
samplenew3_00114183,happy
samplenew3_00018723,happy
samplenew3_00076263,happy
samplenew3_00091266,happy
samplenew3_00008737,happy
samplenew3_00089864,neutral
samplenew3_00109763,fear
samplenew3_00016928,happy
samplenew3_00063553,happy
samplenew4_00009926,happy
samplenew3_00054096,happy
samplenew3_00043735,happy
samplenew3_00021058,neutral
samplenew3_00035653,happy
samplenew3_00050966,sad
samplenew3_00087511,neutral
samplenew3_00000881,happy
samplenew3_00012493,fear
samplenew3_00061168,happy
samplenew3_00092050,neutral
samplenew3_00026661,happy
samplenew3_00111916,neutral
samplenew3_00067612,happy
samplenew3_00029522,angry
samplenew3_00084731,happy
samplenew3_00015427,happy
samplenew3_00039487,happy
samplenew3_00050272,happy
samplenew3_00003059,happy
samplenew3_00087707,sad
samplenew3_00012668,happy
samplenew3_00052448,sad
samplenew3_00037117,happy
samplenew4_00002256,sad
samplenew4_00009450,happy
samplenew3_00107411,happy
samplenew4_00005996,happy
samplenew3_00085796,neutral
samplenew3_00060498,happy
samplenew3_00009227,happy
samplenew3_00013506,sad
samplenew3_00000388,angry
samplenew3_00028722,happy
samplenew3_00065644,happy
samplenew4_00009365,sad
samplenew3_00038849,happy
samplenew3_00020625,happy
samplenew3_00031786,happy
samplenew3_00038403,happy
samplenew3_00018841,happy
samplenew4_00007914,happy
samplenew3_00006034,fear
samplenew3_00077309,angry
samplenew3_00074092,happy
samplenew3_00080574,sad
samplenew3_00111166,happy
samplenew3_00096409,fear
samplenew3_00054075,disgust
samplenew3_00110532,happy
samplenew3_00091748,happy
samplenew3_00030200,happy
samplenew3_00086768,happy
samplenew3_00043282,happy
samplenew4_00007432,fear
samplenew3_00075111,happy
samplenew3_00059785,neutral
samplenew3_00030339,fear
samplenew3_00065668,sad
samplenew3_00001961,happy
samplenew3_00013792,happy
samplenew3_00033444,happy
samplenew3_00014026,happy
samplenew3_00039308,happy
samplenew3_00107410,neutral
samplenew3_00009006,neutral
samplenew3_00002780,happy
samplenew3_00111665,disgust
samplenew4_00004995,angry
samplenew3_00045634,sad
samplenew3_00010294,happy
samplenew4_00009852,happy
samplenew3_00114216,happy
samplenew3_00098397,happy
samplenew3_00030700,fear
samplenew3_00051771,angry
samplenew3_00106085,angry
samplenew4_00006698,happy
samplenew3_00012952,happy
samplenew3_00068448,disgust
samplenew3_00047620,angry
samplenew4_00011047,happy
samplenew3_00037512,happy
samplenew3_00041549,neutral
samplenew3_00046519,happy
samplenew3_00028796,happy
samplenew3_00022207,happy
samplenew3_00032424,happy
samplenew3_00095063,fear
samplenew3_00010423,happy
samplenew3_00092521,happy
samplenew3_00095218,angry
samplenew3_00088003,happy
samplenew4_00003833,neutral
samplenew3_00104001,happy
samplenew3_00105526,happy
samplenew3_00016729,fear
samplenew3_00092771,happy
samplenew3_00058178,happy
samplenew3_00054781,neutral
samplenew3_00093841,sad
samplenew3_00087540,happy
samplenew3_00070320,happy
samplenew3_00087822,neutral
samplenew3_00057370,happy
samplenew3_00108678,happy
samplenew3_00069623,happy
samplenew4_00003774,happy
samplenew3_00044589,happy
samplenew3_00033819,angry
samplenew3_00038274,neutral
samplenew3_00044037,angry
samplenew3_00036609,neutral
samplenew3_00006105,happy
samplenew3_00045609,happy
samplenew3_00009976,happy
samplenew3_00016894,happy
samplenew3_00032464,happy
samplenew3_00111197,happy
samplenew3_00052980,happy
samplenew3_00042758,angry
samplenew3_00089344,happy
samplenew4_00000963,happy
samplenew3_00024208,happy
samplenew3_00115270,happy
samplenew3_00000379,happy
samplenew3_00019389,sad
samplenew3_00082718,happy
samplenew3_00041466,sad
samplenew3_00042026,happy
samplenew3_00085381,happy
samplenew3_00054578,sad
samplenew3_00082028,happy
samplenew3_00021346,happy
samplenew3_00097739,happy
samplenew3_00068743,angry
samplenew3_00112307,fear
samplenew3_00050680,happy
samplenew3_00087861,happy
samplenew3_00053884,neutral
samplenew3_00071968,neutral
samplenew4_00005024,fear
samplenew3_00096345,happy
samplenew3_00025287,happy
samplenew3_00025502,happy
samplenew3_00109511,happy
samplenew3_00036683,sad
samplenew3_00086876,happy
samplenew3_00038246,neutral
samplenew3_00067211,happy
samplenew3_00024898,happy
samplenew3_00010342,sad
samplenew3_00003930,happy
samplenew3_00083484,happy
samplenew3_00006729,happy
samplenew3_00067489,sad
samplenew3_00067656,happy
samplenew3_00031848,happy
samplenew4_00000267,angry
samplenew3_00033695,sad
samplenew3_00052201,happy
samplenew3_00011739,neutral
samplenew3_00055399,happy
samplenew3_00106677,sad
samplenew3_00000640,happy
samplenew3_00106458,happy
samplenew3_00034786,happy
samplenew3_00103088,happy
samplenew3_00005644,neutral
samplenew3_00062869,happy
samplenew3_00100475,happy
samplenew3_00082410,neutral
samplenew3_00027789,neutral
samplenew3_00043509,happy
samplenew3_00047972,neutral
samplenew3_00083437,happy
samplenew3_00000874,happy
samplenew3_00018506,happy
samplenew3_00089394,happy
samplenew3_00074080,happy
samplenew3_00069924,sad
samplenew4_00007067,neutral
samplenew3_00044256,happy
samplenew3_00107188,happy
samplenew3_00082456,angry
samplenew3_00104566,happy
samplenew3_00089450,sad
samplenew3_00019015,happy
samplenew3_00103095,sad
samplenew3_00012723,sad
samplenew3_00034107,sad
samplenew3_00085196,happy
samplenew3_00001954,neutral
samplenew3_00004791,happy
samplenew3_00061134,disgust
samplenew3_00048081,fear
samplenew3_00053904,sad
samplenew3_00055842,sad
samplenew3_00027478,happy
samplenew3_00107357,happy
samplenew3_00088639,happy
samplenew3_00033853,neutral
samplenew3_00078884,happy
samplenew3_00109454,fear
samplenew3_00114592,sad
samplenew3_00086157,sad
samplenew3_00089801,happy
samplenew3_00030206,happy
samplenew3_00037056,happy
samplenew3_00027447,sad
samplenew3_00029852,happy
samplenew3_00020784,happy
samplenew3_00092092,fear
samplenew3_00051251,happy
samplenew3_00113746,disgust
samplenew4_00001541,happy
samplenew3_00066020,neutral
samplenew3_00025618,happy
samplenew3_00070542,fear
samplenew3_00102065,happy
samplenew3_00095982,happy
samplenew3_00051334,happy
samplenew3_00071910,happy
samplenew3_00000710,happy
samplenew3_00099600,happy
samplenew3_00040151,happy
samplenew3_00108767,angry
samplenew3_00019391,neutral
samplenew3_00113657,happy
samplenew3_00082682,happy
samplenew3_00058925,fear
samplenew3_00100978,happy
samplenew3_00054826,happy
samplenew3_00044481,happy
samplenew3_00061714,happy
samplenew3_00023667,neutral
samplenew3_00009789,neutral
samplenew3_00111788,happy
samplenew3_00088850,happy
samplenew3_00037693,neutral
samplenew3_00019018,happy
samplenew3_00069592,fear
samplenew3_00035542,neutral
samplenew3_00030952,happy
samplenew3_00047616,fear
samplenew3_00038476,happy
samplenew4_00008444,happy
samplenew3_00051540,happy
samplenew3_00074127,sad
samplenew3_00090301,neutral
samplenew3_00100180,happy
samplenew3_00063953,fear
samplenew3_00103404,happy
samplenew3_00085788,angry
samplenew3_00009038,happy
samplenew3_00034891,neutral
samplenew3_00114298,disgust
samplenew4_00002165,neutral
samplenew3_00089710,happy
samplenew3_00043116,neutral
samplenew3_00034215,happy
samplenew3_00015403,happy
samplenew3_00089098,happy
samplenew3_00109891,happy
samplenew3_00089090,happy
samplenew3_00050180,sad
samplenew3_00054194,happy
samplenew4_00004901,happy
samplenew3_00028167,happy
samplenew3_00018652,angry
samplenew4_00007185,happy
samplenew3_00086851,neutral
samplenew3_00005266,fear
samplenew3_00052315,happy
samplenew3_00059981,happy
samplenew3_00031830,angry
samplenew3_00026780,sad
samplenew3_00065352,neutral
samplenew3_00036818,neutral
samplenew3_00089253,happy
samplenew3_00026901,happy
samplenew3_00019121,sad
samplenew3_00111668,sad
samplenew3_00058466,happy
samplenew3_00001863,happy
samplenew3_00115334,happy
samplenew3_00091062,neutral
samplenew3_00054345,happy
samplenew3_00004628,happy
samplenew3_00075060,angry
samplenew3_00072505,happy
samplenew3_00097795,neutral
samplenew3_00023650,fear
samplenew4_00007159,happy
samplenew3_00022827,sad
samplenew3_00058833,happy
samplenew3_00077141,happy
samplenew3_00051408,neutral
samplenew3_00067963,happy
samplenew3_00015267,happy
samplenew3_00066750,happy
samplenew3_00002020,fear
samplenew3_00048997,neutral
samplenew3_00024556,sad
samplenew3_00081369,happy
samplenew3_00030805,happy
samplenew3_00097513,happy
samplenew3_00016640,angry
samplenew3_00008416,happy
samplenew4_00005305,happy
samplenew3_00006029,neutral
samplenew3_00102559,happy
samplenew3_00022758,fear
samplenew3_00000841,happy
samplenew3_00021676,fear
samplenew3_00094202,happy
samplenew3_00106848,happy
samplenew4_00003987,happy
samplenew3_00097316,happy
samplenew3_00034955,angry
samplenew3_00033974,happy
samplenew3_00001495,happy
samplenew3_00093079,fear
samplenew3_00057924,happy
samplenew3_00066265,happy
samplenew3_00084513,happy
samplenew3_00034509,happy
samplenew3_00080466,fear
samplenew3_00115091,angry
samplenew3_00045422,happy
samplenew3_00112325,happy
samplenew3_00099911,happy
samplenew3_00049474,neutral
samplenew3_00073772,happy
samplenew3_00027252,neutral
samplenew3_00009245,neutral
samplenew3_00092196,fear
samplenew3_00084611,happy
samplenew3_00060692,angry
samplenew4_00004654,happy
samplenew3_00097091,sad
samplenew3_00007818,neutral
samplenew3_00071744,neutral
samplenew3_00081427,happy
samplenew4_00001279,fear
samplenew3_00097347,happy
samplenew3_00051638,neutral
samplenew3_00013547,neutral
samplenew3_00039769,happy
samplenew3_00021012,sad
samplenew3_00065137,fear
samplenew4_00006329,fear
samplenew3_00055921,happy
samplenew3_00011041,neutral
samplenew4_00009297,neutral
samplenew3_00018043,sad
samplenew3_00037014,neutral
samplenew3_00054446,angry
samplenew3_00107512,happy
samplenew3_00035599,neutral
samplenew3_00023951,happy
samplenew3_00100482,happy
samplenew3_00025120,happy
samplenew3_00061775,happy
samplenew3_00106492,happy
samplenew3_00099042,happy
samplenew3_00037333,happy
samplenew3_00113774,sad
samplenew3_00095769,happy
samplenew3_00075187,sad
samplenew3_00090796,happy
samplenew3_00089135,happy
samplenew3_00096515,happy
samplenew3_00000697,happy
samplenew3_00077554,happy
samplenew3_00083428,happy
samplenew3_00007653,neutral
samplenew3_00110235,happy
samplenew3_00026284,happy
samplenew3_00058941,happy
samplenew3_00034975,happy
samplenew3_00023998,happy
samplenew3_00092924,happy
samplenew3_00027235,happy
samplenew3_00086781,happy
samplenew3_00095803,happy
samplenew3_00114636,happy
samplenew3_00019779,angry
samplenew3_00095925,happy
samplenew3_00067366,sad
samplenew3_00107062,neutral
samplenew3_00036882,neutral
samplenew3_00102921,happy
samplenew3_00021095,happy
samplenew3_00056569,happy
samplenew3_00091178,neutral
samplenew3_00078503,happy
samplenew3_00072697,angry
samplenew3_00037846,happy
samplenew3_00019346,fear
samplenew4_00004825,happy
samplenew4_00001498,sad
samplenew3_00052078,fear
samplenew3_00022023,happy
samplenew3_00047910,neutral
samplenew3_00030295,happy
samplenew3_00011682,happy
samplenew4_00004245,fear
samplenew3_00060982,disgust
samplenew3_00024216,happy
samplenew3_00024221,disgust
samplenew3_00080214,happy
samplenew3_00026712,happy
samplenew3_00042199,sad
samplenew3_00077741,sad
samplenew3_00100727,sad
samplenew3_00037520,happy
samplenew3_00097490,happy
samplenew3_00002978,happy
samplenew3_00085560,angry
samplenew3_00104661,fear
samplenew3_00022181,neutral
samplenew3_00088202,happy
samplenew3_00040322,happy
samplenew3_00009719,neutral
samplenew3_00109154,sad
samplenew3_00076319,angry
samplenew3_00002351,sad
samplenew3_00059888,sad
samplenew3_00097057,happy
samplenew4_00006101,happy
samplenew3_00003668,neutral
samplenew3_00081986,sad
samplenew3_00096945,happy
samplenew3_00082065,happy
samplenew3_00018333,sad
samplenew3_00092854,sad
samplenew3_00049430,happy
samplenew3_00039555,happy
samplenew3_00067572,fear
samplenew3_00062380,sad
samplenew3_00031396,neutral
samplenew3_00013908,happy
samplenew3_00080790,sad
samplenew3_00099130,fear
samplenew3_00022489,angry
samplenew3_00106284,sad
samplenew4_00000919,happy
samplenew3_00008792,happy
samplenew3_00025165,happy
samplenew3_00108639,happy
samplenew3_00034559,happy
samplenew3_00004400,happy
samplenew3_00077498,happy
samplenew3_00005943,happy
samplenew3_00103083,happy
samplenew3_00019935,happy
samplenew3_00015558,happy
samplenew3_00103299,happy
samplenew3_00035732,happy
samplenew3_00044922,happy
samplenew3_00094007,sad
samplenew3_00017471,angry
samplenew3_00044124,happy
samplenew4_00002567,happy
samplenew3_00053224,happy
samplenew3_00076935,neutral
samplenew3_00102047,neutral
samplenew3_00000745,fear
samplenew3_00082335,happy
samplenew3_00115390,happy
samplenew3_00006521,happy
samplenew3_00029075,happy
samplenew3_00003375,happy
samplenew4_00001991,happy
samplenew3_00029936,neutral
samplenew3_00055498,happy
samplenew3_00025679,happy
samplenew3_00094489,happy
samplenew3_00053999,sad
samplenew3_00016390,happy
samplenew3_00110163,happy
samplenew3_00038986,neutral
samplenew3_00048076,happy
samplenew3_00068927,happy
samplenew3_00038663,happy
samplenew3_00030924,happy
samplenew3_00025894,happy
samplenew3_00074330,sad
samplenew3_00008791,happy
samplenew3_00010373,happy
samplenew3_00004617,sad
